Questions,Ans1,Ans2,Ans3,CorrectAns
Which of these objects is the smallest?,Aircraft Carrier,Blue Whale,Electron,Electron
What fruit does not typically undergo a name change when dried?,Apricot,Grape,Plum,Apricot
What country’s tourism board is “reclaiming” place names attached to IKEA products?,Austria,Denmark,Sweden,Sweden
Which of these is a word for an antisocial person?,Lycanthrope,Misanthrope,Synanthrope,Misanthrope
Which nation is NOT considered an Arab state?,Iran,Iraq,Oman,Iran
Which of these cartoons does NOT credit Genndy Tartakovsky as its creator?,Dexter's Laboratory,The Powerpuff Girls,Samurai Jack,The Powerpuff Girls
Which of these are NOT proven to be infinite in number?,Fibonacci numbers,Perfect numbers,Prime numbers,Perfect numbers
Which 'Bond theme' was NOT originally performed by Shirley Bassey?,Diamonds Are Forever,Man with the Golden Gun,Moonraker,Man with the Golden Gun
Which letter’s Cyrillic equivalent looks like the letter 'B'?,T,U,V,V
What diacritic is missing from the name 'Quvenzhane Wallis'?,Accent aigu,Accent grave,Circumflex,Accent aigu
Singer Kate Bush fittingly has the same birthday as what author?,Jane Austen,Emily Brontë,George Eliot,Emily Brontë
7/11’s original name makes it sound like they likely sold what kind of item?,Bags,Hats,Soda,Bags
Which of these is both a color and a common kind of makeup?,Blush,Primer,Cerulean,Blush
Of these francophone cities which is home to the most people,Part-au-Prince,Montreal,Dakar, Montreal
What city is commonly referred to as “The Six“ by Drake?,Philadelphia,Toronto,Miami,Toronto
What of these is the name of a French dance famous for its high kicks?,Two-liter-two-liter,Can-can,Bottle-bottle,Can-can
Which of these words is a homonym of “claws“?,Slaws,Talons,Clause,Clause
Which combination of letters signifies hugs and kisses?,SOS,FML,XOXO,XOXO
The title of William Golding's most famous novel is considered a reference to what mythical figure?, Beelzebub, Mephistopheles, Lucifer, Beelzebub
In “Super Mario“ games what kind of creature is Yoshi?,Unicorn,Dinosaur,Manatee,Dinosaur
In addition to Peter Pan Captain Hook is also enemies with what kind of creature,Wildebeest,Famingo,Crocodile,Crocodile
What is a common Hawaiian menu item at tiki-themed restaurants?,Pu pu platter,Pasta primavera,Pancake frenzy,Pu pu platter
