Questions,Ans1,Ans2,Ans3,CorrectAns
How are most doorknobs operated?,By turning,By squishing,By yelling
Which of these is the name of a princess in Disney's "Frozen"?,Frosier,Jack Frost,Elsa
A mysterious alien spacecraft is given what abbreviation?,UFO,LMFAO,OPP
Which is the name of an actual "Legend of Zelda" game?,Majora's Mask,The Crystal Sabre,Storms of Hyrule
By definition when does "aprés-ski" usually occur?,Before skiing,During skiing,After skiing
Where do Europe and Africa nearly touch?,Copenhagen,Gibraltar,Cape Horn
What would you likely call your first cousin's mother?,Aunt,Second cousin,Mom
Which sport requires every player to be right- handed?,Jai Alai,Polo,Archery
Which sci-fi novel's author is a direct descendant of Mormon leader Brigham Young?,Dune,Ender's Game,Battlefield: Earth
Who is the gum- chewing child in "Charlie and the Chocolate Factory"?,Violet Beauregarde,Veruca Salt,Augustus Gloop
The people behind "Pong" previously made what unsuccessful arcade video game?,Video Pinball,Colossal Cave Adventure,Computer Space
The founder of McDonald's once owned what baseball team?,Houston Astros,San Diego Padres,Cincinnati Reds
As your coach might tell you there's no "i" in which of these?,Team,Minivan,Baked ziti
Which of these is the name of a classic card game?,Go Fish,Go Get Me a Coffee,Go Back to Your Home
What part of a pizza shares its name with a layer of the Earth?,Crust,Sauce,Cheese
In Mexico saladito is the name for what?,Small salad,Salted plum,Guava roll
What rapper's name becomes a US state's name when the space is removed?,Taio Cruz,Meek Mill,Flo Rida
Which of these phrases technically contains a redundancy?,Please RSVP,Happy birthday to you,What's up?
Which of these bands shares its full name with a brand of candy?,Korn,Goo Goo Dolls,Squirrel Nut Zippers
The "gooseneck round" is meat that comes from what animal?,Goose,Duck,Cow
In the Nintendo universe who is hinted at as being Luigi's girlfriend?,Daisy,Rosalina,Pauline
Which of these words is NOT a synonym for "mournful"?,Lugubrious,Fatuous,Forlorn
Who was introduced to the universe in TV's "The Star Wars Holiday Special"?,Lando Calrissian,The Ewoks,Boba Fett
What classic sitcom was NOT a spin-off of "All in the Family?",The Jeffersons,Chico and the Man,Maude
